headword,definition
abradant,[noun] a substance that abrades or wears down [noun.substance] | a tool or machine used for wearing down or smoothing or polishing [noun.artifact]
abrade,[verb] wear away [verb.contact] | rub hard or scrub [verb.contact]
abrader,[noun] a tool or machine used for wearing down or smoothing or polishing [noun.artifact]
abrading stone,[noun] a primitive stone artifact (usually made of sandstone) used as an abrader [noun.artifact]
abraham,[noun] the first of the Old Testament patriarchs and the father of Isaac [noun.person]
abraham lincoln,[noun] 16th President of the United States [noun.person]
abraham stoker,[noun] Irish writer of the horror novel about Dracula (1847-1912) [noun.person]
abraham's bosom,[noun] the place where the just enjoy the peace of heaven after death [noun.cognition]
abramis,[noun] European fishes [noun.animal]
abramis brama,[noun] European freshwater fish having a flattened body and silvery scales [noun.animal]
abranchial,[adjective] having no gills [adj.all]
abranchiate,[adjective] having no gills [adj.all]
abranchious,[adjective] having no gills [adj.all]
abrase,[verb] wear away [verb.contact]
abrasion,[noun] an abraded area where the skin is torn or worn off [noun.state] | erosion by friction [noun.process] | the wearing down of rock particles by friction due to water or wind or ice [noun.phenomenon]
abrasive,[noun] a substance that abrades or wears down [noun.substance] | causing abrasion [adj.all] | sharply disagreeable [adj.all]
abrasive material,[noun] a substance that abrades or wears down [noun.substance]
abrasiveness,[noun] the roughness of a substance that causes abrasions [noun.attribute] | the quality of being sharply disagreeable [noun.attribute]
abreact,[verb] discharge bad feelings or tension through verbalization [verb.emotion]
abreaction,[noun] (psychoanalysis) purging of emotional tensions [noun.act]
abreast,"[adjective] being up to particular standard or level especially in being up to date in knowledge [adj.all] | alongside each other, facing in the same direction [adv.all]"
abridge,"[verb] reduce in scope while retaining essential elements [verb.change] | lessen, diminish, or curtail [verb.change]"
abridged,[adjective] (used of texts) shortened by condensing or rewriting [adj.all]
abridgement,[noun] a shortened version of a written work [noun.communication]
abridger,[noun] one who shortens or abridges or condenses a written work [noun.person]
abridgment,[noun] a shortened version of a written work [noun.communication]
abroach,[adjective] of a cask or barrel [adj.all]
abroad,[adjective] in a foreign country [adj.all] | to or in a foreign country [adv.all] | far away from home or one's usual surroundings [adv.all] | in a place across an ocean [adv.all]
abrocoma,[noun] abrocomes [noun.animal]
abrocome,[noun] ratlike rodent with soft fur and large ears of the Andes [noun.animal]
abrogate,[verb] revoke formally [verb.social]
abrogation,[noun] the act of abrogating [noun.act]
abrogator,[noun] an authority or official empowered to abolish or annul or repeal [noun.person]
abronia,[noun] genus of western North American herbs having showy flowers [noun.plant]
abronia elliptica,[noun] plant having heads of fragrant white trumpet-shaped flowers [noun.plant]
abronia fragrans,[noun] taller than Abronia elliptica and having night-blooming flowers [noun.plant]
abronia latifolia,[noun] plant having hemispherical heads of yellow trumpet-shaped flowers [noun.plant]
abronia maritima,[noun] plant having hemispherical heads of wine-red flowers [noun.plant]
abronia umbellata,[noun] prostrate herb having heads of deep pink to white flowers [noun.plant]
abronia villosa,[noun] soft-haired sticky plant with heads of bright pink trumpet-shaped flowers [noun.plant]
abrupt,[adjective] marked by sudden changes in subject and sharp transitions [adj.all] | exceedingly sudden and unexpected [adj.all] | extremely steep [adj.all] | surprisingly and unceremoniously brusque in manner [adj.all]
abruptio placentae,[noun] a disorder of pregnancy in which the placenta prematurely separates from the wall of the uterus [noun.state]
abruption,[noun] an instance of sudden interruption [noun.act]
abruptly,[adverb] quickly and without warning [adv.all]
abruptly-pinnate,[adjective] (of a leaf shape) pinnate with a pair of leaflets at the apex [adj.all]
abruptly-pinnate leaf,[noun] a pinnate leaf with a pair of leaflets at the apex [noun.plant]
abruptness,[noun] an abrupt discourteous manner [noun.attribute] | the property possessed by a slope that is very steep [noun.attribute] | the quality of happening with headlong haste or without warning [noun.attribute]
abruzzi,[noun] a mountainous region of central Italy on the Adriatic [noun.location]
abruzzi e molise,[noun] a mountainous region of central Italy on the Adriatic [noun.location]
abs,[noun] any of a class of composite plastics used to make car bodies and cases for computers and other appliances [noun.substance]
abscess,[noun] symptom consisting of a localized collection of pus surrounded by inflamed tissue [noun.state]
abscessed,[adjective] infected and filled with pus [adj.all]
abscessed tooth,[noun] an abscess of a common kind in the tissue around a tooth [noun.state]
abscise,[verb] shed flowers and leaves and fruit following formation of a scar tissue [verb.contact] | remove or separate by abscission [verb.contact]
abscissa,[noun] the value of a coordinate on the horizontal axis [noun.cognition]
abscission,[noun] shedding of flowers and leaves and fruit following formation of scar tissue in a plant [noun.process] | the act of cutting something off [noun.act]
abscond,[verb] run away [verb.motion]
absconder,[noun] a fugitive who runs away and hides to avoid arrest or prosecution [noun.person]
abscondment,[noun] the act of running away secretly (as to avoid arrest) [noun.act]
abseil,[noun] (mountaineering) a descent of a vertical cliff or wall made by using a doubled rope that is fixed to a higher point and wrapped around the body [noun.act] | lower oneself with a rope coiled around the body from a mountainside [verb.motion]
abseiler,[noun] a person who descends down a nearly vertical face by using a doubled rope that is wrapped around the body and attached to some high point [noun.person]
absence,"[noun] the state of being absent [noun.state] | failure to be present [noun.act] | the time interval during which something or somebody is away [noun.time] | the occurrence of an abrupt, transient loss or impairment of consciousness (which is not subsequently remembered), sometimes with light twitching, fluttering eyelids, etc. [noun.state]"
absence seizure,"[noun] the occurrence of an abrupt, transient loss or impairment of consciousness (which is not subsequently remembered), sometimes with light twitching, fluttering eyelids, etc. [noun.state]"
absence without leave,[noun] unauthorized military absence [noun.act]
absent,[verb] go away or leave [verb.change] | not being in a specified place [adj.all] | nonexistent [adj.all] | lost in thought [adj.all]
absentee,[noun] one that is absent or not in residence [noun.person]
absentee ballot,[noun] (election) a ballot that is cast while absent (usually mailed in prior to election day) [noun.communication]
absentee rate,[noun] the percentage of workers who do not report to work [noun.relation]
absenteeism,[noun] habitual absence from work [noun.act]
absently,[adverb] in an absentminded or preoccupied manner [adv.all]
absentminded,[adjective] lost in thought [adj.all]
absentmindedly,[adverb] in an absentminded or preoccupied manner [adv.all]
absentmindedness,[noun] preoccupation so great that the ordinary demands on attention are ignored [noun.cognition]
absinth,[noun] strong green liqueur flavored with wormwood and anise [noun.food]
absinthe,[noun] aromatic herb of temperate Eurasia and North Africa having a bitter taste used in making the liqueur absinthe [noun.plant] | strong green liqueur flavored with wormwood and anise [noun.food]
absinthe oil,[noun] a dark bitter oil obtained from wormwood leaves [noun.substance]
absolute,[noun] something that is conceived or that exists independently and not in relation to other things [noun.cognition] | perfect or complete or pure [adj.all] | complete and without restriction or qualification [adj.all] | not limited by law [adj.all] | expressing finality with no implication of possible change [adj.all] | not capable of being violated or infringed [adj.all]
